Unternehmen und Institutionen mit den meisten Markeneintragungen im Jahr 2019;;;
(Eintragungen von Marken gemäß § 41 Markengesetz);;;
Rang; Inhaber1);Sitz;Eintragungen
1;Bayerische Motoren Werke AG;DE;94
2;MERCK KGaA                                          ;DE;84
3;HARIBO Holding GmbH & Co. KG;DE;78
4;Brillux GmbH & Co. KG;DE;59
5;Henkel AG & Co. KGaA                                ;DE;55
6;VOLKSWAGEN AG;DE;53
7;Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V.;DE;48
8;Katjes Fassin GmbH + Co. KG;DE;47
9;DAW SE;DE;45
9;Heinrich Bauer Verlag KG;DE;45
11;Dermapharm AG;DE;43
11;Evonik Operations GmbH;DE;43
13;August Storck KG                                    ;DE;42
14;Daimler AG;DE;39
15;Rotkäppchen - Mumm Sektkellereien GmbH;DE;38
16;AUDI AG;DE;33
16;Nordbrand Nordhausen GmbH;DE;33
18;Bothmer Pyrotechnik GmbH;DE;32
18;Dirk Rossmann GmbH;DE;32
20;Vodafone GmbH                                    ;DE;31
1) ohne Berücksichtigung eventueller Konzernverbundenheiten;;;
